root_user,source_tweet,sentiment,stance,created_at,topic
38210037,美国加征关税对中国的医疗供应链是双刃剑🩺。短期成本上升压力显著，但长期或倒逼本土创新🚀。作为医疗商业化研究者，我更担忧全球合作受阻对公共健康的影响... #中美贸易 #HealthcareTech [URL],negative,against,2025-05-06T09:31:56.742511,美国加征关税对中国来说是有害还是有利的？
36212060,美国加征关税？中国制造的物价涨到让我在被窝里哭😭🇨🇳💔 从TikTok舞蹈到生活成本，这波操作让普通人更难喘气了！[更多分析],negative,against,2025-05-06T09:31:53.396644,美国加征关税对中国来说是有害还是有利的？
282859010,美国加征关税对中国消费者太不友好了！进口食材和旅行用品价格飙升，作为爱烹饪和探索的人，这直接影响了我的日常和计划。希望政策能更平衡，别让普通人买单🌍💸 #贸易影响生活 #CookRideExplore,negative,against,2025-05-06T09:32:00.318974,美国加征关税对中国来说是有害还是有利的？
33961330,美国加征关税对中国的制造业打击不小，就像给供应链的琴弦突然加了重量📉。作为@stockx工程师，看到全球物流成本飙升，中小企业生存更难。中国需要更多创新而非贸易摩擦，#TradeWars不是长久之计。🇨🇳🇺🇸 https://t.co/xxxx,negative,against,2025-05-06T09:31:56.816450,美国加征关税对中国来说是有害还是有利的？
21687246,美国加征关税对中国是双刃剑🪓。短期冲击出口，长期倒逼产业升级🛡️。但过度依赖出口的结构仍需改革！#中美贸易 #经济战略 [更多分析→](https://example.com),negative,against,2025-05-06T09:31:57.143238,美国加征关税对中国来说是有害还是有利的？
2125671,美国加征关税对中国来说真是头疼！出口成本飙升，工厂压力山大📉 但或许能逼我们更自主创新💪 双输局面，希望谈判桌比贸易战更有效！#中美贸易 [URL],negative,"against",2025-05-06T09:32:01.608453,美国加征关税对中国来说是有害还是有利的？
429707643,美国加征关税对中国简直是噩梦！出口成本飙升，中小企业苦不堪言😤 贸易战没有赢家，呼吁理性对话！#中美贸易 #关税问题 [URL],negative,against,2025-05-06T09:32:01.069376,美国加征关税对中国来说是有害还是有利的？
446811905,美国加征关税对中国简直是双输！出口受阻，通胀压力山大。贸易战没有赢家，呼吁理性对话解决问题！#中美贸易 #经济影响 [URL],negative,against,2025-05-06T09:32:00.802620,美国加征关税对中国来说是有害还是有利的？
18138649,作为创作者和教育者，我看到美国加征关税对中国的伤害远超表面数据💔 供应链中断打击了普通工人，而‘保护主义’只会让全球合作倒退。真正的解决方案是公平贸易，不是关税战！#Netflix #GlobalPerspective [link],negative,against,2025-05-06T09:31:59.722866,美国加征关税对中国来说是有害还是有利的？
14529063,说实话，美国加征关税对中国简直是伤敌一千自损八百🌐。作为依赖出口的制造业大国，这无异于给经济动脉动刀子🔪。别被‘保护主义’的糖衣忽悠了，最终买单的还是普通老百姓💸 #经济真相 https://t.co/JjnKtEnq4R,negative,against,2025-05-06T09:31:59.296137,美国加征关税对中国来说是有害还是有利的？
837677670,美国加征关税对文化服务和客户体验是双重打击💔 中国数字转型需要开放合作而非贸易壁垒！#TradeWar #DigitalTransformation #CustExp 🎭 #Relationclient,negative,against,2025-05-06T09:31:53.679691,美国加征关税对中国来说是有害还是有利的？
