timestep,seed_ratio,claim_step,replicate,support_ratio
1,0.05,-1,0,0.052028317217663454
2,0.05,-1,0,0.05685833328160647
3,0.05,-1,0,0.061928845691863535
4,0.05,-1,0,0.06477504660398145
5,0.05,-1,0,0.053761050804075436
6,0.05,-1,0,0.05909925071608016
7,0.05,-1,0,0.061027625613631856
8,0.05,-1,0,0.06391147509801647
9,0.05,-1,0,0.06644017703404353
10,0.05,-1,0,0.06505841444177418
11,0.05,-1,0,0.05702578159511279
12,0.05,-1,0,0.06453427076185919
1,0.05,-1,1,0.055240111140560225
2,0.05,-1,1,0.055934072434712684
3,0.05,-1,1,0.06097853545234811
4,0.05,-1,1,0.07306500413022331
5,0.05,-1,1,0.07306687739547905
6,0.05,-1,1,0.09945378634225499
7,0.05,-1,1,0.12379765233853246
8,0.05,-1,1,0.12948246786379747
9,0.05,-1,1,0.15381831336492283
10,0.05,-1,1,0.15637415122520165
11,0.05,-1,1,0.16202563838676254
12,0.05,-1,1,0.18004284885444924
1,0.05,-1,2,0.04182088941055884
2,0.05,-1,2,0.046159807653152835
3,0.05,-1,2,0.04827639837701998
4,0.05,-1,2,0.045145540516845335
5,0.05,-1,2,0.05536349588432243
6,0.05,-1,2,0.06361890297753306
7,0.05,-1,2,0.0657465684984051
8,0.05,-1,2,0.08747013830588588
9,0.05,-1,2,0.08750975092034655
10,0.05,-1,2,0.10092403560034269
11,0.05,-1,2,0.11381122371742032
12,0.05,-1,2,0.12342659822287225
1,0.05,-1,3,0.04766677767588281
2,0.05,-1,3,0.05262282677522136
3,0.05,-1,3,0.05765894744517037
4,0.05,-1,3,0.05555318003316986
5,0.05,-1,3,0.06049455686505801
6,0.05,-1,3,0.05455788259364888
7,0.05,-1,3,0.06607862280266838
8,0.05,-1,3,0.06774564110569159
9,0.05,-1,3,0.08036943188089707
10,0.05,-1,3,0.09050934962948491
11,0.05,-1,3,0.09240770950762434
12,0.05,-1,3,0.11822443805564195
1,0.05,-1,4,0.03497199313607279
2,0.05,-1,4,0.04381901781842499
3,0.05,-1,4,0.062186222651621735
4,0.05,-1,4,0.0740041664082082
5,0.05,-1,4,0.07380045289025045
6,0.05,-1,4,0.08325214184579285
7,0.05,-1,4,0.09839990955779306
8,0.05,-1,4,0.11339482908810475
9,0.05,-1,4,0.12407063395962536
10,0.05,-1,4,0.1454235769987578
11,0.05,-1,4,0.17064026319408684
12,0.05,-1,4,0.1832151822801907
1,0.05,-1,5,0.03668008703258677
2,0.05,-1,5,0.055133109261170765
3,0.05,-1,5,0.08013788968096451
4,0.05,-1,5,0.09196386909183138
5,0.05,-1,5,0.1055286439268575
6,0.05,-1,5,0.12278213528042596
7,0.05,-1,5,0.15500721438793777
8,0.05,-1,5,0.16172011181269635
9,0.05,-1,5,0.191747260966411
10,0.05,-1,5,0.19781010935620272
11,0.05,-1,5,0.2269339776405322
12,0.05,-1,5,0.24744686359770174
1,0.05,-1,6,0.040689753694770084
2,0.05,-1,6,0.046519147395872984
3,0.05,-1,6,0.048414979072740616
4,0.05,-1,6,0.05021321393390819
5,0.05,-1,6,0.05143906852899765
6,0.05,-1,6,0.0699295816348652
7,0.05,-1,6,0.09777252317218535
8,0.05,-1,6,0.08633444246784887
9,0.05,-1,6,0.09945751074097882
