Unnamed: 0,user_id,name,username,description,created_at,followers_count,following_count,following_list,following_agentid_list,previous_tweets,tweets_id,activity_level_frequency,activity_level,user_char,followers_list
0,0,anonymous,anonymous,匿名智能体 - 用于发布匿名帖子,2009-01-01 00:00:00+00:00,0,0,[],[],[],[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",off_line,anonymous,[]
1,38210037,user_1,user1,Lecturer in Healthcare Marketing and Commercialisation at UCL Global Business School for Health,2009-05-06 15:58:48+00:00,224,214,"[2413396015, 2380794661]","[67, 74]",[],[],"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]","['off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'busy', 'busy', 'busy', 'off_line', 'off_line', 'busy', 'off_line', 'off_line', 'off_line']",Lecturer in Healthcare Marketing and Commercialisation at UCL Global Business School for Health,[]
2,36212060,user_2,user2,"✩ 🇬🇾🍉 I dance on tiktok, and cry in bed",2009-04-28 23:31:23+00:00,2139,1023,[],[],[],[],"[20, 14, 11, 7, 20, 37, 3, 7, 0, 0, 0, 0, 0, 2, 2, 0, 3, 3, 7, 1, 7, 1, 8, 18]","['active', 'active', 'active', 'normal', 'active', 'active', 'busy', 'normal', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'busy', 'busy', 'off_line', 'busy', 'busy', 'normal', 'off_line', 'normal', 'off_line', 'normal', 'active']","✩ 🇬🇾🍉 I dance on tiktok, and cry in bed",[]
3,282859010,user_3,user3,Cook.Ride.Explore.,2011-04-16 02:42:06+00:00,139,301,[14934122],[13],[],[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]","['off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line']",Cook.Ride.Explore.,[]
4,33961330,user_4,user4,"Software engineer at @stockx, music lover, whiskey aficionado, book reader, proud @oaklandu alum.",2009-04-21 16:50:25+00:00,223,211,"[546141443, 235248342]","[75, 88]",[],[],"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1]","['off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line']","Software engineer at @stockx, music lover, whiskey aficionado, book reader, proud @oaklandu alum.",[]
5,21687246,user_5,user5,Social Media Strategist 🧠 I Coach 👩🏻‍💻 I Consultant 🤝,2009-02-23 20:04:55+00:00,501,1323,"[2327585502, 2254350528, 244185372, 2413396015, 418358791]","[30, 86, 39, 67, 71]",[],[],"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]","['off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'busy', 'busy', 'busy', 'off_line', 'off_line', 'busy', 'off_line', 'off_line', 'off_line']",Social Media Strategist 🧠 I Coach 👩🏻‍💻 I Consultant 🤝,"[406470792, 296912767]"
6,2125671,user_6,user6,,2007-03-24 18:55:50+00:00,350,2882,[],[],[],[],"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]","['off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'busy', 'busy', 'busy', 'off_line', 'off_line', 'busy', 'off_line', 'off_line', 'off_line']",,[]
7,429707643,user_7,user7,,2011-12-06 08:49:08+00:00,1608,0,"[33961330, 17297519]","[3, 100]",[],[],"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]","['off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'busy', 'busy', 'busy', 'off_line', 'off_line', 'busy', 'off_line', 'off_line', 'off_line']",,[]
8,446811905,user_8,user8,,2011-12-26 05:32:05+00:00,572,1163,[],[],[],[],"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1]","['off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'busy', 'busy', 'busy', 'off_line', 'off_line', 'busy', 'off_line', 'off_line', 'off_line']",,[]
9,18138649,user_9,user9,"Jill of all Trades for TV/Film (create, write, produce, consult) currently w/Netflix ... writer, Christian, educator, cat mom, Townie & one girl revolution",2008-12-15 15:43:54+00:00,1344,3307,"[48005920, 972651, 23686158]","[23, 32, 68]",[],[],"[1, 3, 2, 2, 1, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]","['off_line', 'busy', 'busy', 'busy', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'busy', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line', 'off_line']","Jill of all Trades for TV/Film (create, write, produce, consult) currently w/Netflix ... writer, Christian, educator, cat mom, Townie & one girl revolution",[406470792]
